,source,fname,note
0,SJTT,CRA02_SJTT1751_1_male,展翅不完全
1,SJTT,GEO022_SJTT1518,標籤
2,SJTT,GEO103_SJTT0295_slide_1_male,生殖器
3,SJTT,LIT13_SJTT2011_1_female,展翅不完全
4,SJTT,LIT19_SJTT0856_1_male,展翅不完全
5,SJTT,NOC031_SJTT0202_1_1_male,側面展翅
6,CARS,CARS0373,殘缺僅有部分
7,CARS,CARS1075,殘缺僅有部分
8,CARS,CARS0575,殘缺僅剩蟲體
9,CARS,CARS2312,展翅不完全
10,CARS,Not_id_yet_CARS0969,殘缺變形
11,CARS,Not_id_yet_CARS1868,殘缺僅有部分
12,CARS,CARS2111_cropped,展翅不完全
13,CARS,NOC162_CARS0532,展翅不完全
14,CARS,NOC070_CARS0051,展翅不完全
15,CATT,CATT0058_1,側面
16,CATT,CATT0065_1,側面
17,CATT,CATT0120_1,側面
18,CATT,CATT0147_1,側面
19,CATT,CATT0150_1,側面
20,CATT,CATT0158_1,側面
21,CATT,CATT0550_1,側面
22,CATT,CATT0111_1,側面
23,CATT,CATT0114_1,側面
24,CATT,CATT0109_1,半邊
25,CATT,CATT2088_1,殘缺
26,CATT,CATT0098_1,展翅不完全
27,CATT,CATT0093_1,展翅不完全
28,CATT,CATT0090_1,展翅不完全
29,CATT,CATT0149_1,展翅不完全
30,CATT,CATT0574_1,展翅不完全
31,CATT,CATT0214_1,展翅不完全
32,CATT,CATT0101_1,展翅不完全
33,CATT,CATT0140_1,展翅不完全
34,CATT,CATT0151_1,展翅不完全
35,CATT,CATT0102_1,展翅不完全
36,CATT,CATT1877_1,展翅不完全
37,CATT,CATT0157_1,展翅不完全
38,CATT,CATT0365_1,展翅不完全
39,CATT,CATT0577_1,展翅不完全
40,CATT,CATT0163_1,展翅不完全
41,CATT,CATT0098_1,側面
42,CATT,CATT0093_1,側面
43,CATT,CATT0090_1,側面
44,CATT,CATT0149_1,側面
45,CATT,CATT0574_1,側面
46,CATT,CATT0214_1,側面
47,CATT,CATT0101_1,側面
48,CATT,CATT0140_1,側面
49,CATT,CATT0151_1,側面
50,CATT,CATT0102_1,側面
51,CATT,CATT1877_1,側面
52,CATT,CATT0157_1,側面
53,CATT,CATT0365_1,側面
54,CATT,CATT0577_1,側面
55,CATT,CATT0163_1,側面
