source,img,note
SJTT,CRA02_SJTT1751_1_male,展翅不完全
SJTT,GEO022_SJTT1518,標籤
SJTT,GEO103_SJTT0295_slide_1_male,生殖器
SJTT,LIT13_SJTT2011_1_female,展翅不完全
SJTT,LIT19_SJTT0856_1_male,展翅不完全
SJTT,NOC031_SJTT0202_1_1_male,側面展翅
CARS,CARS0373,殘缺僅有部分
CARS,CARS1075,殘缺僅有部分
CARS,CARS0575,殘缺僅剩蟲體
CARS,CARS2312,展翅不完全
CARS,Not_id_yet_CARS0969,殘缺變形
CARS,Not_id_yet_CARS1868,殘缺僅有部分
CARS,CARS2111_cropped,展翅不完全
CARS,NOC162_CARS0532,展翅不完全
CARS,NOC070_CARS0051,展翅不完全
CATT,CATT0058_1,側面
CATT,CATT0065_1,側面
CATT,CATT0120_1,側面
CATT,CATT0147_1,側面
CATT,CATT0150_1,側面
CATT,CATT0158_1,側面
CATT,CATT0550_1,側面
